p0,T_voronoi,mean_q,T_vertex,how,tau_voronoi,tau_vertex,tau_ratio_v_over_V
3.825,0.00014,3.825091099647619,,q_outside_vertex,122939.8395667507,,
3.825,0.00018,3.825142850142856,,q_outside_vertex,83145.15015129189,,
3.825,0.00025,3.8250924863238094,,q_outside_vertex,52515.65773826642,,
3.825,0.00033,3.8250498067142855,,q_outside_vertex,27763.33086090322,,
3.825,0.0013,3.827588358977528,,q_outside_vertex,527.2943294482769,,
3.825,0.0015,3.828366429247191,,q_outside_vertex,477.7855851529326,,
3.825,0.002,3.8297441870112356,,q_outside_vertex,249.9876019248945,,
3.825,0.0022,3.830458717022472,,q_outside_vertex,191.1388688466946,,
3.825,0.0025,3.831525919910112,,q_outside_vertex,170.2691062946824,,
3.825,0.0031,3.833250510179775,,q_outside_vertex,116.9611974915523,,
3.825,0.00385,3.8358726877528095,0.0019136786725539555,interp_T_nonmonotone,85.98952898577276,72092.23714030019,838.3839054663048
3.825,0.005,3.839087891269663,0.002447806726674381,interp_T_nonmonotone,53.82663082998007,43080.46350839435,800.3559361623583
3.825,0.0063,3.843030358573034,0.00311262797804356,interp_T_nonmonotone,38.93262330160253,20539.630583110917,527.5686260336192
3.825,0.008,3.84728713052809,0.003833878216118098,interp_T_nonmonotone,26.7057065030922,11168.01704468373,418.18841390287156
3.825,0.01,3.8520475985056177,0.004701781000305612,interp_T_nonmonotone,18.62429236287473,9496.746975276405,509.91182860762103
3.825,0.016,3.864660648797753,0.006857940165576818,interp_T_nonmonotone,8.175170221727768,1724.6290124653474,210.95940092864004
3.825,0.03105,3.8879225991460675,0.011802496865042596,interp_T_nonmonotone,2.958250485864885,404.70336401973253,136.80496832620716
3.825,0.039,3.897356031359551,0.014145490339431861,interp_T_nonmonotone,2.289574011305053,275.0335418770772,120.12432903197944
3.825,0.063,3.920450050910112,0.020786123292813208,interp_T_nonmonotone,0.7900326516170211,137.73343166888588,174.3389104070271
3.85,0.00018,3.8502289139166663,,q_outside_vertex,2304.613440869596,,
3.85,0.00033,3.8504233884606744,,q_outside_vertex,928.9141411257335,,
3.85,0.0005,3.85071916788764,,q_outside_vertex,469.9966551958508,,
3.85,0.00067,3.850937965932584,,q_outside_vertex,318.2288353798615,,
3.85,0.001,3.851627324449438,,q_outside_vertex,184.8389219330216,,
3.85,0.002,3.8537922135842697,0.000837023781024402,interp_T,70.26110474336024,29121.85092724691,414.4804018328357
3.85,0.0025,3.8549467449550567,0.0010555442177931037,interp_T,52.13604938957775,21679.370589064896,415.82304073462666
3.85,0.00385,3.858229542853932,0.0016745927070637443,interp_T,33.47216517177899,10247.45908942361,306.1486771720234
3.85,0.005,3.860484308303371,0.0020687410194895,interp_T,23.06915604814413,5417.33136432698,234.8300628346044
3.85,0.01,3.871310278752809,0.003997035406919952,interp_T,8.869681254159824,1666.0209813540018,187.83324153533124
3.85,0.016,3.8817571018202246,0.00606676472407195,interp_T,5.598944530254805,780.728002785438,139.44199635603596
3.85,0.039,3.911386889786517,0.0129201871905505,interp_T,1.183304528159174,213.93424905549838,180.79390720181598
