p0,T,mean_q,std_mean_q,mean_q_minus_p0,mean_P,p6,p5p7,eP,n_frames
3.775,0.016,3.83333737964045,0.0010128635074914288,0.05833737964045005,3.8309980648876407,0.7360208918516855,0.26274468925280897,0.008724112559325843,89
3.775,0.01,3.8148123092022472,0.0008664336892022357,0.03981230920224732,3.8132905027078645,0.8219830802303371,0.17777277914382023,0.005016910440573033,89
3.775,0.025,3.8517663760898873,0.0010763731476467787,0.07676637608988734,3.848391994022472,0.6708271155213483,0.32561227176853935,0.013853003632134828,89
3.775,0.02,3.842086953741573,0.0012526488843648898,0.06708695374157303,3.8392979460112358,0.701986591469663,0.2961974411932584,0.011011494089213484,89
3.775,0.03105,3.8618139238314604,0.0010793627603518541,0.08681392383146047,3.8577644496179766,0.6400105337146067,0.3538393170606742,0.01726309320831461,89
3.8,0.0016,3.802534173419047,0.0003955061684226573,0.002534173419047381,3.8021120549333336,0.9754557291666667,0.024544270833333333,0.0006510947401933333,105
3.8,0.0018,3.8030734362666667,0.00047353645043293215,0.0030734362666668957,3.8026164506380957,0.9699125744028572,0.030087425595238096,0.0007298440644857143,105
3.8,0.002,3.8040626283238095,0.0005796690517604979,0.004062628323809658,3.8035598767333334,0.9568475632438096,0.043150111607142855,0.0008030756456476191,105
3.8,0.0031,3.8083216315851063,0.0006114455514556988,0.00832163158510646,3.807609211659575,0.9120184715744679,0.08795295877659574,0.0012687419203404255,94
3.8,0.00385,3.8119525419550566,0.0006584586812624208,0.011952541955056795,3.8110968753595507,0.8775044987730336,0.12246532654269662,0.0016051814747977528,89
3.8,0.005,3.81708873341573,0.0007821345564765046,0.01708873341573014,3.816020522460674,0.833457689611236,0.16641063904157305,0.002152120692966292,89
3.8,0.0063,3.821944999280899,0.0007297291438888138,0.021944999280899324,3.8206782090898885,0.8035545777808988,0.19625614465280897,0.0027673813201685394,89
3.8,0.008,3.8273452403146075,0.0008893078529568483,0.02734524031460772,3.8258285106067413,0.7784739290775282,0.22105973490112363,0.0035980200018314607,89
3.8,0.016,3.8487837847977526,0.0010801856026718378,0.048783784797752805,3.846224401561798,0.6905970198393259,0.3070411253550562,0.007740756359134831,89
3.8,0.01,3.8337402516404495,0.0009551920028937136,0.03374025164044969,3.831942027303371,0.7480551044617978,0.2510149666426966,0.004641129267730337,89
3.8,0.025,3.8652553296629213,0.0013446019507519838,0.06525532966292147,3.8616288915505614,0.6418347305112359,0.35286824086853935,0.01236774835235955,89
3.8,0.03105,3.8746049390224715,0.0014190354669284938,0.07460493902247167,3.870270755797753,0.6158515844449438,0.3758421479955056,0.015503549061235957,89
3.8,0.039,3.885002408752809,0.0016214909267446482,0.08500240875280918,3.8798135497865167,0.593810349364045,0.39401279406853934,0.01942746983977528,89
3.8,0.063,3.9095986286516853,0.0020194164530167066,0.10959862865168546,3.9019050332808987,0.5447984331134832,0.43183538886741574,0.030653003585168544,89
3.815,0.00067,3.8153703849238094,0.0002778482931627496,0.00037038492380947474,3.815076907676191,0.955966331844762,0.0440336681547619,0.0002924467197466667,105
3.815,0.0008,3.815665359914286,0.0003367052962890592,0.0006653599142860678,3.8153348566476195,0.949307105652381,0.0506928943452381,0.0003454926093971428,105
