p0,T,t,Fs_mean,Fs_std,Fs_sem,n_idx
3.8,0.03119342,0.012885217184670714,0.9999696083552629,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.014626405672618265,0.9999610968248067,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.016602882189250948,0.9999514351252353,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.018846441371867226,0.9999404678333852,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.021393174289532996,0.9999235009002756,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.024284049022937213,0.9998999951145386,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.027565569698412937,0.999873312975393,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.03129052457769065,0.9998388355068706,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.035518835237547564,0.999790727567391,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.040318520499702026,0.9997350859174039,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.045766790617234585,0.9996554309558165,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.051951289319191934,0.9995587059713744,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.05897150369355452,0.9994333808410187,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.06694036458868406,0.9992686471616257,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.0759860632781475,0.9990586948291652,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.08625411361274073,0.9987892358581213,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.09790969283256912,0.9984434083398067,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.11114029869471674,0.9979966118864361,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.12615876566045128,0.9974173107701774,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.14320668866193417,0.9966829848953379,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.16255830952494102,0.9957404696516713,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.1845249285666265,0.9945272818946791,0.0001,3.1622776601683795e-05,10
3.8,0.03119342,0.209459912335607,0.9929757225942843,0.00012733433808686555,4.026665327044225e-05,10
3.8,0.03119342,0.23776437805149325,0.9909841645281589,0.00016264955869823333,5.1434306590766876e-05,10
3.8,0.03119342,0.2698936461867474,0.9884726939851689,0.0002049499237488791,6.481085653242932e-05,10
3.8,0.03119342,0.3063645649904774,0.9852632595171229,0.0002551613852404694,8.06891148283554e-05,10
3.8,0.03119342,0.3477638247803005,0.981269373530926,0.0003163808240881668,0.00010004840121196716,10
3.8,0.03119342,0.3947573957503299,0.9761752098163194,0.00039209091527218903,0.00012399003421202163,10
3.8,0.03119342,0.4481012411168134,0.9698444021822539,0.0004846693465902356,0.00015326590472907074,10
