model,p0,T,mean_A,std_A,skew_A,kurt_A,mean_P,std_P,skew_P,kurt_P,median_ell,f_ell_lt_T1,n_cells,n_ell,n_frames
vertex,3.8,0.04493352,0.999999999999823,0.0904625652580375,-0.09226385684221011,0.126013452064619,3.962154297754578,0.1351161580966951,-0.045727765040420386,0.0959761006367148,0.6644355143,0.0,32768,98304,8
vertex,3.8,0.03119342,1.0000000000003906,0.07652692287019917,-0.11745942200419594,0.10663572979153679,3.930465786168396,0.11202498276290764,-0.002452777008753606,0.020259823622468254,0.65894914465,0.0,32768,98304,8
vertex,3.8,0.01973598,1.0000000000002014,0.0616852546927036,-0.13480032056582936,0.04084526908225872,3.897591835128601,0.08978544108710647,-0.012301458141125031,0.05380223612987489,0.65532099185,0.0,32768,98304,8
vertex,3.8,0.01365467,0.999999999999759,0.05173686449916457,-0.14598738896528723,0.1058795658813465,3.876292595416229,0.07415918760343332,-0.0235237921715686,0.026448364728505425,0.6501611946500001,0.0,32768,98304,8
vertex,3.8,0.01157466,0.999999999997586,0.04814942593532917,-0.16254065956853894,0.07191789631993739,3.866938514715393,0.06852516213369612,0.014258889532245606,0.006553707367450201,0.6496461765,0.0,32768,98304,8
vertex,3.8,0.00996505,1.0000000000002287,0.04473283759020794,-0.1649867296472664,0.1639495893078804,3.8592684110510254,0.06348894161699357,0.008201288175821341,0.028229937331269994,0.64702296905,0.0,32768,98304,8
vertex,3.8,0.00961925,0.9999999999990509,0.0439460298599657,-0.1743416326274388,0.0810332974948178,3.8568736327440796,0.06297164445694986,0.01454027113235489,0.017420430476279947,0.647483934,0.0,32768,98304,8
vertex,3.8,0.00876128,0.9999999999989289,0.04266575176852897,-0.2135023762824385,0.16910600771969797,3.8527140495133665,0.0603135790076958,-0.005039239027245845,0.021094006167660773,0.6465925275,0.0,32768,98304,8
vertex,3.8,0.00822905,0.9999999999995545,0.040951977696040226,-0.21589963105322213,0.18092124969230738,3.849452698837707,0.057911212660423726,0.018795637761534537,0.014636390872595939,0.64541567265,0.0,32768,98304,8
vertex,3.8,0.00796442,1.000000000000113,0.04009217436032427,-0.20456930169295667,0.15284473991838876,3.846828716824615,0.057069316340015795,0.013024465298389359,0.00878199230058696,0.6453586881,0.0,32768,98304,8
vertex,3.8,0.00718994,1.0000000000017426,0.038225451311961194,-0.23449914473266376,0.16009710320679904,3.8424454490470583,0.05411125766973477,0.005576593258085575,-0.009954741378075838,0.6441587853999999,0.0,32768,98304,8
vertex,3.8,0.00704038,0.9999999999995606,0.03806049778730029,-0.2411790368804007,0.15928519082349313,3.843176163830994,0.05344837868644789,-0.0020057266025588815,0.05439081640294319,0.6449794592,0.0,32768,98304,8
vertex,3.8,0.00535426,1.0000000000000608,0.03378435607132244,-0.20743391797597857,0.14722756089429767,3.834010081176025,0.04673020399623677,-0.001947295820538062,0.013587201481234601,0.64250454125,0.0,32768,98304,8
vertex,3.8,0.00422529,1.0000000000006044,0.03073967568020154,-0.2526150371136251,0.12176684642936797,3.827997751712189,0.041961858053932474,0.037430215870492264,0.010976517785254547,0.64111212715,0.0,32768,98304,8
voronoi,3.8,0.063,1.000000000000763,0.09479570262366185,0.0016463936486847443,-0.004891211752434899,3.9020581203526,0.14217866083809214,-0.04529200158665626,0.06881057248716527,0.66184151395,0.003082275390625,32768,98304,8
voronoi,3.8,0.039,0.9999999999999207,0.07739475569094965,-0.0030861665339157298,0.03474611883145684,3.8807320845875246,0.11319591935239243,-0.024397001188286478,-0.0397714884521454,0.6602972634,0.0024617513020833335,32768,98304,8
voronoi,3.8,0.03105,1.000000000000119,0.06977060143717373,-0.060921209645128226,0.027735428221086433,3.87063440772464,0.10211655221812793,-0.05677137166406655,-0.003734553630889259,0.6592288667999999,0.0023396809895833335,32768,98304,8
voronoi,3.8,0.025,1.0000000000005005,0.06387722122722467,-0.06130702352086192,0.044409854965565376,3.8623300972624506,0.09265251245054026,-0.027487623111811688,-0.03859709808200318,0.6581599870499999,0.001983642578125,32768,98304,8
voronoi,3.8,0.016,1.0000000000010743,0.05258469217805463,-0.07363612978332382,0.0877552110250992,3.846248625338623,0.07491054677185056,-0.010552798338049812,-0.03808041621950142,0.65574471545,0.0014750162760416667,32768,98304,8
voronoi,3.8,0.01,0.9999999999998048,0.043058999518163665,-0.09030385483610144,0.04389812555000727,3.8324141997098082,0.060251214231065595,0.014046679213773035,0.019162398951643844,0.6519563922,0.000946044921875,32768,98304,8
voronoi,3.8,0.008,1.000000000001004,0.03931729907274873,-0.1703990855665461,0.16803639275904736,3.825572676409241,0.05393140058244219,-0.005970427401872501,0.009715558618835995,0.6497194223,0.0008341471354166666,32768,98304,8
voronoi,3.8,0.0063,0.9999999999999969,0.03523630703115699,-0.17007233823300064,0.08621030968828336,3.8197061447063905,0.04807521545974597,-0.004763107332344145,0.014630817615207903,0.64907582805,0.0005696614583333334,32768,98304,8
voronoi,3.8,0.005,0.9999999999989533,0.03216681670955922,-0.1901531131657335,0.139297461538904,3.8156916218334045,0.04353189595444117,0.009871223095812093,0.020227702252517243,0.6473109592499999,0.0006815592447916666,32768,98304,8
voronoi,3.8,0.00385,1.0000000000013674,0.02855236644982272,-0.1917342236443529,0.09182118840722664,3.8118422898115845,0.038599126319615575,0.0008838767164981113,0.040612223951447035,0.6459019751,0.0004781087239583333,32768,98304,8
voronoi,3.8,0.0031,1.0000000000009461,0.02594569353809581,-0.2227951457025321,0.12516768452973892,3.807432561481781,0.034574862119581454,-0.0063873928387652695,-0.005464288757961899,0.6440091787,0.000396728515625,32768,98304,8
voronoi,3.8,0.0028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
voronoi,3.8,0.0025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
voronoi,3.8,0.0022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0
voronoi,3.8,0.002,0.9999999999992859,0.0212998370524791,-0.21677322423349024,0.11063214367019292,3.803382553288727,0.02820793763732835,-0.0025227970007499403,-0.01671392661702953,0.64358357135,0.000152587890625,32768,98304,8
voronoi,3.8,0.0018,0.9999999999998413,0.020269133612137096,-0.21748484269526935,0.08684470062951188,3.8024702753192443,0.026964855918794856,0.025859433427937235,-0.004193903041916691,0.64329453765,0.00014241536458333334,32768,98304,8
voronoi,3.8,0.0016,1.0000000000016083,0.019418244999843497,-0.20940062622590783,0.06925025443762411,3.8022547493306886,0.02546580430896915,-0.013134946250144757,0.04931177419290389,0.6423760350500001,0.00020345052083333334,32768,98304,8
vertex,3.815,0.16265453,1.0000000000021636,0.17239904642541065,-0.006191968998494182,0.10886715720298668,4.140881800672821,0.2618073002950783,-0.030247751367316326,-0.014781419686229036,0.68584759225,0.0,32768,98304,8
vertex,3.815,0.10562311,0.9999999999985167,0.1395246007409559,-0.07069506440277662,0.12796780387118112,4.0697827141939396,0.20944265423000694,-0.028552635974285548,0.0032273087781629073,0.6776366318,0.0,32768,98304,8
vertex,3.815,0.09749689,1.000000000000418,0.13330281533471466,-0.05072275324737,0.1341755358005119,4.060519206356018,0.2010031020666414,-0.002316990614174898,0.020541905074277444,0.6765603407,0.0,32768,98304,8
vertex,3.815,0.05607261,0.9999999999996307,0.10173673230601586,-0.09566401446996983,0.1449358221874486,3.9934210743880305,0.15170692148837908,0.008871926423693385,0.04806244740779286,0.66794484965,0.0,32768,98304,8
vertex,3.815,0.03205711,1.0000000000026152,0.07776103966742445,-0.07670109352492382,0.09111409924396785,3.9415388121418458,0.11388212009927945,0.011704514664576043,0.017768767115003303,0.66040049845,0.0,32768,98304,8
vertex,3.815,0.02008463,1.0000000000010223,0.06277497404276283,-0.15467278987952413,0.12614378316891095,3.908353576633728,0.09029264364270896,-0.012268209531630044,0.004170281595060388,0.65578111465,0.0,32768,98304,8
vertex,3.815,0.01273808,1.0000000000005647,0.05115549729947672,-0.1622190675684104,0.09593303291466437,3.881941373148102,0.07165440694614475,1.724943478020706e-05,0.015995063912008334,0.65232044265,0.0,32768,98304,8
vertex,3.815,0.01011368,1.0000000000007203,0.04622844944785964,-0.21275808114343836,0.18414400111337326,3.8701364072855835,0.06382037952887089,0.004969747593782622,-0.03137159578876769,0.64950751505,0.0,32768,98304,8
vertex,3.815,0.00881879,0.9999999999995667,0.04347088680478385,-0.17993423978484518,0.11343216323367011,3.8652230731617734,0.05997773355545993,0.03209925131559075,-0.01505124860099638,0.64819833185,0.0,32768,98304,8
vertex,3.815,0.00829312,0.9999999999997314,0.042207426209487094,-0.19369449223319743,0.1487589017927129,3.862251426012879,0.058308133960062875,0.017199259838374725,0.036898626516065125,0.6472639035000001,0.0,32768,98304,8
vertex,3.815,0.00702801,0.9999999999996245,0.03926284087046828,-0.211283114822487,0.17440169570539332,3.855102208058227,0.05388595858151378,0.0104467099160203,0.014591345588898186,0.6467592996,0.0,32768,98304,8
vertex,3.815,0.0060978,0.999999999997766,0.037057794986789454,-0.2270986917369011,0.10534881130554741,3.849920802019379,0.050531016351762964,0.014035477010645786,-0.01864921516251261,0.64591046335,0.0,32768,98304,8
vertex,3.815,0.00590473,0.999999999998108,0.03659297451495242,-0.21188328485116187,0.13524961902282184,3.8499446516989746,0.04941512895881266,0.025683551012357437,-0.001547060498009234,0.6457481219000001,0.0,32768,98304,8
vertex,3.815,0.00417946,1.0000000000006102,0.03155875078083389,-0.23309385639767183,0.09046927057188814,3.8398154830650024,0.041814378476693226,0.020031749405872122,-0.007240208884288002,0.6440510482499999,0.0,32768,98304,8
