p0,T,waitingTime,tauAlphaEst,tauBlock,tauAlpha,crossed,n,idx
3.8,0.00961925,23699.0,2154.43,2154.43,2040.829633085244,1,4096,0
3.8,0.00961925,25853.0,2154.43,2154.43,2177.921065124182,1,4096,0
3.8,0.00961925,28007.0,2154.43,2154.43,2402.6213382086653,1,4096,0
3.8,0.00961925,30162.0,2154.43,2154.43,,0,4096,0
3.8,0.00961925,4309.0,2154.43,2154.43,2198.9888582526864,1,4096,0
3.8,0.00961925,6463.0,2154.43,2154.43,2369.526642069799,1,4096,0
3.8,0.00961925,8618.0,2154.43,2154.43,2116.299685497327,1,4096,0
3.8,0.01157466,0.0,1000.0,1000.0,752.2622644407086,1,4096,0
3.8,0.01157466,10000.0,1000.0,1000.0,1167.497094536048,1,4096,0
3.8,0.01157466,1000.0,1000.0,1000.0,749.0663848417888,1,4096,0
3.8,0.01157466,11000.0,1000.0,1000.0,1246.0164565107282,1,4096,0
3.8,0.01157466,12000.0,1000.0,1000.0,1274.3332505391638,1,4096,0
3.8,0.01157466,13000.0,1000.0,1000.0,1145.1076737292206,1,4096,0
3.8,0.01157466,14000.0,1000.0,1000.0,940.4973763266285,1,4096,0
3.8,0.01157466,2000.0,1000.0,1000.0,1064.5428520606574,1,4096,0
3.8,0.01157466,3000.0,1000.0,1000.0,982.0940994804146,1,4096,0
3.8,0.01157466,4000.0,1000.0,1000.0,971.5053303094822,1,4096,0
3.8,0.01157466,5000.0,1000.0,1000.0,999.9659847210822,1,4096,0
3.8,0.01157466,6000.0,1000.0,1000.0,964.2358223748539,1,4096,0
3.8,0.01157466,7000.0,1000.0,1000.0,947.5343120234627,1,4096,0
3.8,0.01157466,8000.0,1000.0,1000.0,1136.4186154707893,1,4096,0
3.8,0.01157466,9000.0,1000.0,1000.0,976.1458754824985,1,4096,0
3.8,0.16398067,0.0,10.0,1000.0,1.9833287819242755,1,4096,0
3.8,0.16398067,10000.0,10.0,1000.0,1.8570130005720302,1,4096,0
3.8,0.16398067,1000.0,10.0,1000.0,8.420230728517442,1,4096,0
3.8,0.16398067,11000.0,10.0,1000.0,1.9362510922778893,1,4096,0
3.8,0.16398067,12000.0,10.0,1000.0,1.8581298578388665,1,4096,0
3.8,0.16398067,13000.0,10.0,1000.0,2.0310595027042604,1,4096,0
3.8,0.16398067,14000.0,10.0,1000.0,1.8333728958193347,1,4096,0
3.8,0.16398067,2000.0,10.0,1000.0,1.8157815521128948,1,4096,0
3.8,0.16398067,3000.0,10.0,1000.0,1.934624709299009,1,4096,0
3.8,0.16398067,4000.0,10.0,1000.0,1.7699891238090484,1,4096,0
