p0,T,t1,tauAlpha,tauAlphaEst,waitingTime,kept
3.775,0.15774637,0.04,1.6686312087683537,10.0,10000.0,1
3.775,0.01135263,0.05,,10000.0,100000.0,0
3.775,0.01265623,0.05,,4641.59,46416.0,0
3.775,0.01344977,0.05,,2154.43,21544.0,0
3.775,0.01509788,0.05,,1000.0,10000.0,0
3.775,0.01852515,0.05,,464.159,10000.0,0
3.775,0.02343962,0.05,,215.443,10000.0,0
3.775,0.03315978,0.05,,100.0,10000.0,0
3.775,0.05158933,0.05,326.84558350654856,46.4159,10000.0,0
3.775,0.08784725,0.05,16.17704093282232,21.5443,10000.0,1
3.775,0.15774637,0.05,1.7862039079897187,10.0,10000.0,1
3.775,0.01135263,0.06,36442.96978724135,10000.0,100000.0,1
3.775,0.01265623,0.06,,4641.59,46416.0,0
3.775,0.01344977,0.06,,2154.43,21544.0,0
3.775,0.01509788,0.06,,1000.0,10000.0,0
3.775,0.01852515,0.06,,464.159,10000.0,0
3.775,0.02343962,0.06,,215.443,10000.0,0
3.775,0.03315978,0.06,,100.0,10000.0,0
3.775,0.05158933,0.06,1399.9617817717622,46.4159,10000.0,0
3.775,0.08784725,0.06,25.23173697727362,21.5443,10000.0,1
3.775,0.15774637,0.06,1.9592587943935582,10.0,10000.0,1
3.8,0.00804331,0.001,41643.68433117712,10000.0,100000.0,1
3.8,0.00857386,0.001,22104.55865759699,4641.59,41774.0,1
3.8,0.00972763,0.001,12291.879525611663,2154.43,19390.0,1
3.8,0.01138609,0.001,6540.058871597242,1000.0,7000.0,1
3.8,0.0145279,0.001,4453.301277081482,464.159,9000.0,1
3.8,0.01950438,0.001,2118.5170462859137,215.443,12000.0,1
3.8,0.02908965,0.001,1155.6053052035006,100.0,13000.0,1
3.8,0.04732642,0.001,582.2915906999474,46.4159,14000.0,1
3.8,0.07997788,0.001,266.4493194370638,21.5443,14000.0,1
3.8,0.10807693,0.001,215.63957403715062,10.0,14000.0,1
3.8,0.00804331,0.0015,35215.78728337567,10000.0,110000.0,1
3.8,0.00857386,0.0015,21405.554786202276,4641.59,46416.0,1
3.8,0.00972763,0.0015,9538.632912701512,2154.43,19390.0,1
3.8,0.01138609,0.0015,5339.505650784238,1000.0,9000.0,1
3.8,0.0145279,0.0015,2582.4854965328122,464.159,11000.0,1
